  PID TTY           TIME CMD
  394 ??         0:12.95 /System/Library/CoreServices/appleeventsd --server
  395 ??         0:00.01 /usr/libexec/multiversed
  396 ??         0:00.02 /System/Library/CryptoTokenKit/com.apple.ifdreader.slo
  397 ??         0:00.08 /usr/libexec/apfsd
  398 ??         0:00.18 /usr/libexec/usbd
  399 ??         0:00.44 /usr/libexec/thermald
  400 ??         5:21.54 /System/Library/Frameworks/CoreMediaIO.framework/Resou
  403 ??         0:00.02 /usr/libexec/bootinstalld
  406 ??        37:16.64 /usr/libexec/sysmond
  409 ??         0:00.25 /System/Library/CoreServices/SubmitDiagInfo server-ini
  410 ??         0:00.10 /System/Library/PrivateFrameworks/BridgeOSSoftwareUpda
  414 ??         0:00.13 /usr/libexec/mobileactivationd
  417 ??         0:17.47 /System/Library/PrivateFrameworks/XprotectFramework.fr
  418 ??         0:00.05 /System/Library/PrivateFrameworks/AccountPolicy.framew
  420 ??         0:00.53 /usr/sbin/systemstats --logger-helper /private/var/db/
  423 ??         0:00.20 /usr/libexec/nsurlstoraged --privileged
  424 ??         0:00.01 /System/Library/Frameworks/CoreMediaIO.framework/Versi
  426 ??         0:00.05 /System/Library/Frameworks/GSS.framework/Helpers/GSSCr
  427 ??         1:36.75 SophosAutoUpdate -d
  428 ??         0:00.06 /System/Library/CoreServices/iconservicesagent runAsRo
  431 ??         0:00.13 /System/Library/CoreServices/sharedfilelistd
  432 ??         0:00.01 /System/Library/CoreServices/CrashReporterSupportHelpe
  437 ??         0:00.11 /System/Library/Frameworks/LocalAuthentication.framewo
  438 ??         0:00.20 /System/Library/Frameworks/LocalAuthentication.framewo
  440 ??         0:14.82 /usr/sbin/cfprefsd agent
  441 ??         0:00.08 /usr/libexec/securityd_service
  442 ??         0:00.27 /usr/libexec/biometrickitd --launchd
  444 ??         0:21.75 SophosMcsAgentD
  445 ??         0:00.03 /usr/libexec/biokitaggdd
  446 ??         0:00.24 SophosCleanD
  447 ??         0:44.59 SophosSXLD
  452 ??         0:00.01 /Applications/NoMachine.app/Contents/Frameworks/bin/nx
  455 ??         0:05.99 /System/Library/PrivateFrameworks/ViewBridge.framework
  456 ??         0:00.20 /usr/sbin/distnoted agent
  457 ??         4:59.01 SophosWebIntelligenceLegacy
  458 ??         0:02.20 SophosHealthD
  459 ??        19:44.73 SophosScanDLegacy
  460 ??         0:07.78 SophosAntiVirus -d
  463 ??         0:00.09 /usr/libexec/captiveagent
  464 ??         0:00.31 /usr/sbin/netbiosd
  465 ??         0:00.00 /usr/libexec/ioupsd
  467 ??         0:33.41 /usr/libexec/UserEventAgent (Aqua)
  469 ??         0:48.11 /usr/libexec/knowledge-agent
  470 ??         0:16.53 /usr/sbin/distnoted agent
  471 ??         0:00.09 /System/Library/PrivateFrameworks/CloudServices.framew
  473 ??         0:05.65 /usr/libexec/lsd
  474 ??         0:12.24 /usr/libexec/secd
  475 ??         2:38.43 /usr/libexec/trustd --agent
  476 ??         0:32.45 /System/Library/PrivateFrameworks/CloudKitDaemon.frame
  477 ??        55:06.86 /Applications/Google Chrome.app/Contents/MacOS/Google 
  478 ??         0:00.13 /System/Library/CoreServices/backgroundtaskmanagementa
  479 ??         0:00.95 /System/Library/CoreServices/sharedfilelistd
  480 ??         0:02.70 /System/Library/PrivateFrameworks/TCC.framework/Resour
  481 ??         0:18.68 /usr/libexec/nsurlsessiond
  482 ??         0:18.13 /Applications/1Password 7.app/Contents/MacOS/1Password
  483 ??         2:11.98 /Applications/Notion.app/Contents/MacOS/Notion -psn_0_
  485 ??         0:44.92 /System/Library/Frameworks/Accounts.framework/Versions
  487 ??         0:00.16 /System/Library/Frameworks/Security.framework/Versions
  489 ??         0:01.69 /usr/libexec/rapportd
  491 ??         0:21.41 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  492 ??         0:25.60 /usr/sbin/usernoted
  493 ??         0:05.95 /System/Library/CoreServices/lockoutagent
  494 ??         0:02.93 /System/Library/Frameworks/CoreTelephony.framework/Sup
  495 ??         0:06.96 /System/Library/CoreServices/ControlStrip.app/Contents
  496 ??         0:00.08 /usr/libexec/networkserviceproxy
  497 ??         0:00.01 /System/Library/CoreServices/APFSUserAgent
  498 ??         0:15.51 /System/Library/PrivateFrameworks/CalendarAgent.framew
  499 ??         0:03.46 /System/Library/PrivateFrameworks/CoreDuetContext.fram
  500 ??         0:18.37 /usr/libexec/secinitd
  502 ??         0:13.90 /System/Library/PrivateFrameworks/IDS.framework/identi
  503 ??         0:22.50 /System/Library/Frameworks/ApplicationServices.framewo
  504 ??         0:00.77 /System/Library/CoreServices/talagent
  505 ??         0:22.32 /System/Library/CoreServices/Dock.app/Contents/MacOS/D
  506 ??         0:23.02 /System/Library/CoreServices/SystemUIServer.app/Conten
  507 ??         0:01.75 /usr/libexec/dmd
  508 ??         3:27.69 /System/Library/CoreServices/Finder.app/Contents/MacOS
  509 ??         1:01.17 /System/Library/PrivateFrameworks/ScreenTimeCore.frame
  510 ??         0:04.51 /usr/libexec/pboard
  512 ??         0:00.66 /usr/libexec/adprivacyd
  515 ??         0:00.42 /usr/sbin/WirelessRadioManagerd
  516 ??         0:01.89 /System/Library/PrivateFrameworks/TelephonyUtilities.f
  517 ??         0:00.80 /System/Library/Frameworks/Quartz.framework/Versions/A
  518 ??         0:03.62 /usr/libexec/pkd
  519 ??         0:00.58 /usr/sbin/systemsoundserverd
  520 ??         0:03.10 /System/Library/PrivateFrameworks/CalendarNotification
  521 ??         0:00.50 /System/Library/PrivateFrameworks/Categories.framework
  522 ??         0:00.06 /System/Library/PrivateFrameworks/Categories.framework
  523 ??         0:01.06 /System/Library/CoreServices/mapspushd
  524 ??         0:00.30 /System/Library/Frameworks/Security.framework/Versions
  525 ??         0:01.77 /usr/libexec/nsurlstoraged
  527 ??         0:01.02 /System/Library/PrivateFrameworks/AMPDevices.framework
  528 ??         0:09.41 /System/Library/CoreServices/iconservicesagent
  529 ??         0:08.30 /System/Library/PrivateFrameworks/ViewBridge.framework
  530 ??         0:00.91 /System/Library/PrivateFrameworks/ContextKit.framework
  531 ??         0:08.05 /System/Library/CoreServices/WiFiAgent.app/Contents/Ma
  532 ??         0:00.23 /System/Library/CoreServices/RemoteManagement/ARDAgent
  534 ??         0:05.84 /System/Library/PrivateFrameworks/IMCore.framework/ima
  535 ??         0:16.59 /System/Library/CoreServices/NotificationCenter.app/Co
  536 ??         0:01.37 /usr/libexec/gamecontrollerd
  538 ??         0:00.04 /Applications/Google Chrome.app/Contents/Frameworks/Go
  539 ??         0:19.64 /System/Library/CoreServices/Spotlight.app/Contents/Ma
  542 ??         0:00.60 /System/Library/Frameworks/CryptoTokenKit.framework/ct
  543 ??         0:07.99 /etc/NX/nxnode --localsession
  545 ??         0:55.46 /System/Library/PrivateFrameworks/CloudDocsDaemon.fram
  546 ??         0:00.63 /System/Library/CoreServices/RemoteManagement/SSMenuAg
  547 ??         0:25.31 /System/Library/PrivateFrameworks/IMDPersistence.frame
  548 ??         0:00.02 /System/Library/Frameworks/CryptoTokenKit.framework/ct
  550 ??         0:21.33 /System/Library/PrivateFrameworks/UsageTracking.framew
  555 ??         0:01.36 /System/Library/PrivateFrameworks/AuthKit.framework/Ve
  556 ??         0:01.31 /usr/sbin/filecoordinationd
  558 ??         0:00.05 /Applications/Notion.app/Contents/Frameworks/Electron 
  559 ??         0:07.02 /System/Library/Frameworks/AddressBook.framework/Execu
  560 ??         0:00.82 /System/Library/PrivateFrameworks/CoreADI.framework/ad
  562 ??         0:00.47 /System/Library/PrivateFrameworks/IMFoundation.framewo
  563 ??         0:04.82 /System/Library/PrivateFrameworks/GeoServices.framewor
