  PID TTY           TIME CMD
47746 ??         0:01.04 /System/Library/Frameworks/Quartz.framework/Versions/A
47944 ??         0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCS
48011 ??         0:04.90 /Library/Apple/System/Library/CoreServices/SafariSuppo
48014 ??         2:23.17 /System/Library/PrivateFrameworks/PhotoLibraryServices
48021 ??         0:00.57 cloudphotod
49230 ??         9:08.94 /Applications/Google Chrome.app/Contents/Frameworks/Go
49410 ??         1:19.11 /Applications/Google Chrome.app/Contents/Frameworks/Go
49586 ??         0:01.17 /Applications/Google Chrome.app/Contents/Frameworks/Go
49590 ??         2:49.32 /Applications/Google Chrome.app/Contents/Frameworks/Go
49635 ??         0:04.01 /Library/Apple/System/Library/CoreServices/SafariSuppo
49637 ??         0:00.88 /System/Library/PrivateFrameworks/Noticeboard.framewor
49638 ??         0:00.08 /System/Library/PrivateFrameworks/Noticeboard.framewor
49744 ??         0:00.06 /usr/libexec/microstackshot
49754 ??         0:00.01 /usr/libexec/periodic-wrapper daily
49755 ??         0:00.13 /System/Library/PrivateFrameworks/IMDPersistence.frame
49830 ??         0:07.94 /System/Library/PrivateFrameworks/StorageKit.framework
49831 ??         0:00.17 /System/Library/PrivateFrameworks/CacheDelete.framewor
49832 ??         0:00.09 /usr/libexec/replayd
49834 ??         0:00.01 /System/Library/PrivateFrameworks/PackageKit.framework
49835 ??         0:00.06 /System/Library/PrivateFrameworks/CommerceKit.framewor
49881 ??         0:00.12 /System/Library/PrivateFrameworks/ClassKit.framework/V
49956 ??         0:00.10 /usr/libexec/silhouette
49958 ??         0:00.02 /usr/bin/sysdiagnose
49985 ??         0:00.18 /System/Library/PrivateFrameworks/AssistantServices.fr
49986 ??         0:00.18 /System/Library/PrivateFrameworks/PodcastServices.fram
49987 ??         0:00.10 /System/Library/PrivateFrameworks/BookKit.framework/Ve
49988 ??         0:00.08 /System/Library/PrivateFrameworks/AMPLibrary.framework
50031 ??         0:10.34 /System/Library/Frameworks/CoreServices.framework/Fram
50032 ??         0:00.04 /System/Library/Frameworks/CoreServices.framework/Fram
50551 ??         0:01.29 /Applications/Google Chrome.app/Contents/Frameworks/Go
50552 ??         3:25.27 /Applications/Google Chrome.app/Contents/Frameworks/Go
50555 ??         0:03.21 /Applications/Google Chrome.app/Contents/Frameworks/Go
50556 ??         0:01.33 /Applications/Google Chrome.app/Contents/Frameworks/Go
50739 ??         0:00.34 /System/Library/CoreServices/rcd.app/Contents/MacOS/rc
51229 ??         0:00.19 /usr/libexec/taskgated
51716 ??         0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCS
51720 ??         0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCS
51844 ??        16:30.13 /System/Applications/Utilities/Terminal.app/Contents/M
52592 ??         0:00.07 /System/Library/Frameworks/Metal.framework/Versions/A/
52596 ??         0:04.57 /usr/libexec/studentd
52602 ??         0:00.54 /System/Library/PrivateFrameworks/PassKitCore.framewor
52604 ??         0:00.30 /usr/libexec/nfcd
52606 ??         0:00.32 /System/Library/PrivateFrameworks/CloudPhotoServices.f
52627 ??         0:00.10 /usr/libexec/seld
52630 ??         0:00.68 /System/Library/PrivateFrameworks/HomeKitDaemon.framew
53268 ??         5:34.25 /private/var/folders/sl/4tl14j4561d81m5kgq7lnk2h0000gq
53270 ??         1:03.31 /private/var/folders/sl/4tl14j4561d81m5kgq7lnk2h0000gq
53272 ??         0:00.04 /var/folders/sl/4tl14j4561d81m5kgq7lnk2h0000gq/T/AppTr
53274 ??         0:00.08 /System/Library/Frameworks/VideoToolbox.framework/Vers
53275 ??         5:00.11 /private/var/folders/sl/4tl14j4561d81m5kgq7lnk2h0000gq
53389 ??         0:00.90 /private/var/folders/sl/4tl14j4561d81m5kgq7lnk2h0000gq
54226 ??         0:00.23 /System/Library/Frameworks/ApplicationServices.framewo
54606 ??         6:19.84 /Applications/Spotify.app/Contents/MacOS/Spotify
54608 ??         0:00.08 /Applications/Spotify.app/Contents/Frameworks/Spotify 
54614 ??         1:05.08 /Applications/Spotify.app/Contents/Frameworks/Spotify 
54615 ??         0:00.08 /System/Library/Frameworks/VideoToolbox.framework/Vers
54616 ??         0:03.46 /System/Library/CoreServices/NowPlayingTouchUI.app/Con
54618 ??         0:15.09 /Applications/Spotify.app/Contents/Frameworks/Spotify 
54622 ??         2:41.93 /Applications/Spotify.app/Contents/Frameworks/Spotify 
54753 ??         0:00.04 /System/Library/Frameworks/Metal.framework/Versions/A/
54916 ??         0:07.65 /Applications/Google Chrome.app/Contents/Frameworks/Go
54927 ??         0:00.80 /Applications/Google Chrome.app/Contents/Frameworks/Go
55253 ??         0:12.74 /System/Applications/Notes.app/Contents/MacOS/Notes
55256 ??         0:00.07 /System/Library/Frameworks/Metal.framework/Versions/A/
55260 ??         0:00.02 /System/Library/PrivateFrameworks/PrintingPrivate.fram
55261 ??         0:00.79 /System/Library/PrivateFrameworks/PrintingPrivate.fram
55403 ??         0:20.19 /usr/libexec/searchpartyuseragent
55440 ??         0:07.00 /Applications/Google Chrome.app/Contents/Frameworks/Go
55462 ??         0:00.08 /System/Library/Frameworks/Metal.framework/Versions/A/
55741 ??         0:00.04 /System/Library/PrivateFrameworks/AssistantServices.fr
56206 ??         2:41.65 /Applications/Google Chrome.app/Contents/Frameworks/Go
56210 ??         1:32.74 /Applications/Google Chrome.app/Contents/Frameworks/Go
56221 ??         0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCS
56473 ??         0:02.50 /Applications/Google Chrome.app/Contents/Frameworks/Go
57020 ??         3:39.16 /Applications/Google Chrome.app/Contents/Frameworks/Go
57023 ??         1:26.58 /Applications/Google Chrome.app/Contents/Frameworks/Go
57091 ??         1:44.26 /Applications/Google Chrome.app/Contents/Frameworks/Go
57119 ??         0:10.46 /Applications/Google Chrome.app/Contents/Frameworks/Go
57123 ??         0:06.61 /Applications/Google Chrome.app/Contents/Frameworks/Go
57171 ??         0:05.55 /Applications/Google Chrome.app/Contents/Frameworks/Go
57206 ??         0:01.02 /Applications/Google Chrome.app/Contents/Frameworks/Go
57210 ??         0:01.40 /Applications/Google Chrome.app/Contents/Frameworks/Go
57212 ??         0:09.73 /Applications/Google Chrome.app/Contents/Frameworks/Go
57213 ??         0:01.60 /Applications/Google Chrome.app/Contents/Frameworks/Go
57626 ??         0:02.72 /Applications/Google Chrome.app/Contents/Frameworks/Go
57650 ??         0:39.04 /Applications/Google Chrome.app/Contents/Frameworks/Go
57809 ??         1:37.24 /Applications/Google Chrome.app/Contents/Frameworks/Go
57918 ??         0:00.66 /Applications/Google Chrome.app/Contents/Frameworks/Go
59079 ??         0:06.70 /Applications/Google Chrome.app/Contents/Frameworks/Go
59205 ??         0:02.25 /Applications/Google Chrome.app/Contents/Frameworks/Go
59304 ??         0:07.54 /Applications/Google Chrome.app/Contents/Frameworks/Go
59307 ??         1:23.28 /Applications/Google Chrome.app/Contents/Frameworks/Go
59653 ??         3:25.65 /Applications/Google Chrome.app/Contents/Frameworks/Go
59731 ??         2:29.21 /Applications/Google Chrome.app/Contents/Frameworks/Go
60645 ??         4:46.27 /System/Library/PrivateFrameworks/PhotoAnalysis.framew
60797 ??         0:00.19 /System/Library/PrivateFrameworks/CoreLSKD.framework/V
60799 ??         0:00.21 /System/Library/PrivateFrameworks/AssetCacheServices.f
61366 ??         0:04.37 /Applications/Google Chrome.app/Contents/Frameworks/Go
61587 ??         3:05.62 /Applications/Google Chrome.app/Contents/Frameworks/Go
61693 ??         2:23.10 /Applications/Google Chrome.app/Contents/Frameworks/Go
61878 ??         0:06.10 /Applications/Google Chrome.app/Contents/Frameworks/Go
61887 ??         0:00.54 /Applications/Google Chrome.app/Contents/Frameworks/Go
62145 ??         0:00.10 /System/Library/PrivateFrameworks/KerberosHelper/Helpe
62163 ??         2:09.87 /Applications/Google Chrome.app/Contents/Frameworks/Go
62488 ??         0:26.12 /Applications/Google Chrome.app/Contents/Frameworks/Go
62489 ??         0:00.99 /Applications/Google Chrome.app/Contents/Frameworks/Go
62491 ??         0:00.83 /Applications/Google Chrome.app/Contents/Frameworks/Go
62496 ??         1:51.39 /Applications/Google Chrome.app/Contents/Frameworks/Go
62498 ??         2:16.34 /Applications/Google Chrome.app/Contents/Frameworks/Go
62499 ??         0:51.66 /Applications/Google Chrome.app/Contents/Frameworks/Go
62500 ??         0:00.63 /Applications/Google Chrome.app/Contents/Frameworks/Go
62501 ??         1:51.45 /Applications/Google Chrome.app/Contents/Frameworks/Go
62577 ??         0:19.76 /Applications/Google Chrome.app/Contents/Frameworks/Go
62579 ??         0:00.82 /Applications/Google Chrome.app/Contents/Frameworks/Go
62581 ??         0:00.60 /Applications/Google Chrome.app/Contents/Frameworks/Go
62585 ??         0:00.56 /Applications/Google Chrome.app/Contents/Frameworks/Go
62587 ??         0:00.77 /Applications/Google Chrome.app/Contents/Frameworks/Go
62588 ??         0:03.62 /Applications/Google Chrome.app/Contents/Frameworks/Go
62589 ??         0:00.55 /Applications/Google Chrome.app/Contents/Frameworks/Go
62590 ??         0:00.62 /Applications/Google Chrome.app/Contents/Frameworks/Go
62591 ??         2:27.98 /Applications/Google Chrome.app/Contents/Frameworks/Go
62592 ??         0:48.46 /Applications/Google Chrome.app/Contents/Frameworks/Go
62646 ??         0:00.01 /System/Library/Frameworks/MediaAccessibility.framewor
62647 ??         0:00.44 /System/Library/Frameworks/VideoToolbox.framework/Vers
62667 ??         0:00.73 /Applications/Google Chrome.app/Contents/Frameworks/Go
62699 ??        29:57.36 /Applications/Google Chrome.app/Contents/Frameworks/Go
62701 ??         0:01.11 /Applications/Google Chrome.app/Contents/Frameworks/Go
62704 ??         0:52.55 /Applications/Google Chrome.app/Contents/Frameworks/Go
62710 ??         0:47.52 /Applications/Google Chrome.app/Contents/Frameworks/Go
62712 ??         0:49.39 /Applications/Google Chrome.app/Contents/Frameworks/Go
62713 ??         0:47.65 /Applications/Google Chrome.app/Contents/Frameworks/Go
62714 ??         0:46.82 /Applications/Google Chrome.app/Contents/Frameworks/Go
62715 ??         0:47.77 /Applications/Google Chrome.app/Contents/Frameworks/Go
62717 ??         0:52.68 /Applications/Google Chrome.app/Contents/Frameworks/Go
62721 ??         0:47.81 /Applications/Google Chrome.app/Contents/Frameworks/Go
62736 ??         0:48.38 /Applications/Google Chrome.app/Contents/Frameworks/Go
62737 ??         0:47.98 /Applications/Google Chrome.app/Contents/Frameworks/Go
62740 ??         0:46.59 /Applications/Google Chrome.app/Contents/Frameworks/Go
62766 ??         0:48.75 /Applications/Google Chrome.app/Contents/Frameworks/Go
62770 ??         0:50.50 /Applications/Google Chrome.app/Contents/Frameworks/Go
62788 ??         2:14.55 /Applications/Google Chrome.app/Contents/Frameworks/Go
63073 ??         0:23.76 /Applications/Google Chrome.app/Contents/Frameworks/Go
63075 ??         0:02.66 /Applications/Google Chrome.app/Contents/Frameworks/Go
63081 ??         0:00.58 /Applications/Google Chrome.app/Contents/Frameworks/Go
63082 ??         0:02.12 /Applications/Google Chrome.app/Contents/Frameworks/Go
63088 ??         0:00.57 /Applications/Google Chrome.app/Contents/Frameworks/Go
63089 ??         0:00.63 /Applications/Google Chrome.app/Contents/Frameworks/Go
63091 ??         0:00.65 /Applications/Google Chrome.app/Contents/Frameworks/Go
63187 ??         0:05.13 /Applications/Google Chrome.app/Contents/Frameworks/Go
63189 ??         2:40.17 /Applications/Google Chrome.app/Contents/Frameworks/Go
63190 ??         0:01.23 /Applications/Google Chrome.app/Contents/Frameworks/Go
63416 ??         0:00.40 /System/Library/CoreServices/CoreServicesUIAgent.app/C
63455 ??         0:42.67 /Applications/Google Chrome.app/Contents/Frameworks/Go
63646 ??         0:56.10 /Applications/Google Chrome.app/Contents/Frameworks/Go
63737 ??         4:56.65 /Applications/Google Chrome.app/Contents/Frameworks/Go
64336 ??         7:01.90 /System/Applications/Utilities/Activity Monitor.app/Co
64337 ??         0:00.03 /System/Library/PrivateFrameworks/AssetCacheServicesEx
64428 ??         0:04.23 /Applications/Google Chrome.app/Contents/Frameworks/Go
64677 ??         0:05.58 /Applications/Google Chrome.app/Contents/Frameworks/Go
64679 ??         0:00.69 /Applications/Google Chrome.app/Contents/Frameworks/Go
64681 ??         0:00.67 /Applications/Google Chrome.app/Contents/Frameworks/Go
64683 ??         0:02.00 /Applications/Google Chrome.app/Contents/Frameworks/Go
64799 ??         0:01.97 /Applications/Google Chrome.app/Contents/Frameworks/Go
64804 ??         0:01.19 /Applications/Google Chrome.app/Contents/Frameworks/Go
64823 ??         0:03.26 /Applications/Google Chrome.app/Contents/Frameworks/Go
66112 ??         0:00.43 /System/Library/PrivateFrameworks/MailService.framewor
66898 ??         0:11.88 /Applications/Google Chrome.app/Contents/Frameworks/Go
67094 ??         0:20.73 /Applications/Google Chrome.app/Contents/Frameworks/Go
67097 ??         0:00.56 /Applications/Google Chrome.app/Contents/Frameworks/Go
67099 ??         0:01.12 /Applications/Google Chrome.app/Contents/Frameworks/Go
67101 ??         0:00.49 /Applications/Google Chrome.app/Contents/Frameworks/Go
67110 ??         0:00.97 /Applications/Google Chrome.app/Contents/Frameworks/Go
67117 ??         0:00.60 /Applications/Google Chrome.app/Contents/Frameworks/Go
67118 ??         0:00.63 /Applications/Google Chrome.app/Contents/Frameworks/Go
67128 ??         0:00.34 /Applications/Google Chrome.app/Contents/Frameworks/Go
67796 ??         0:00.04 /usr/libexec/USBAgent
67811 ??         0:00.21 /System/Library/Frameworks/LocalAuthentication.framewo
67826 ??         0:00.26 /usr/libexec/sandboxd
67838 ??         0:00.88 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
67839 ??         0:00.07 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
67840 ??         0:00.01 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
67841 ??         0:00.01 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
67842 ??         0:05.21 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
67843 ??         0:00.01 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
67854 ??         0:00.52 /usr/libexec/remindd
68925 ??         0:35.08 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
68926 ??         0:04.22 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
68927 ??         0:00.01 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
68928 ??         0:00.01 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
68929 ??         0:00.03 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
68930 ??         0:00.78 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
68931 ??         0:03.74 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
68932 ??         0:18.08 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
68937 ??         0:00.01 /System/Library/DriverExtensions/AppleUserHIDDrivers.d
69018 ??         0:00.72 /Applications/Google Chrome.app/Contents/Frameworks/Go
69129 ??         1:43.20 /Applications/Google Chrome.app/Contents/Frameworks/Go
70224 ??         1:00.69 /Applications/Google Chrome.app/Contents/Frameworks/Go
70227 ??         0:06.02 /Applications/Google Chrome.app/Contents/Frameworks/Go
70267 ??         0:21.45 /Applications/Google Chrome.app/Contents/Frameworks/Go
70272 ??         0:00.25 /Applications/Google Chrome.app/Contents/Frameworks/Go
71230 ??         0:00.57 /System/Library/PrivateFrameworks/CallHistory.framewor
72181 ??         0:01.76 /System/Library/Frameworks/AppKit.framework/Versions/C
72182 ??         0:00.15 /System/Library/Frameworks/Quartz.framework/Versions/A
72310 ??         0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCS
72311 ??         0:00.15 /System/Library/Frameworks/Metal.framework/Versions/A/
72312 ??         0:00.11 /System/Library/Frameworks/Metal.framework/Versions/A/
72317 ??         0:00.08 /System/Library/Frameworks/QuickLook.framework/Version
72993 ??        45:25.99 /usr/bin/yes
73293 ??         0:08.37 /Applications/Google Chrome.app/Contents/Frameworks/Go
73325 ??         0:00.72 /System/Applications/TextEdit.app/Contents/MacOS/TextE
73431 ??         0:00.03 /System/Library/PrivateFrameworks/HelpData.framework/V
73616 ??         2:19.63 /Applications/Avira.app/Contents/MacOS/avlogwriter -f 
73623 ??         0:00.01 /Applications/Avira.app/Contents/MacOS/avbackendproxy 
73635 ??         0:00.10 /Applications/Utilities/Avira-Uninstall.app/Contents/M
73638 ??         0:00.09 /Applications/Avira.app/Contents/MacOS/avqmd --setuid 
73639 ??         0:00.00 /Applications/Avira.app/Contents/MacOS/avqmd --setuid 
73705 ??         0:17.73 /Applications/Google Chrome.app/Contents/Frameworks/Go
74813 ??         0:12.07 /usr/sbin/bluetoothaudiod
75188 ??         0:08.01 /Applications/Google Chrome.app/Contents/Frameworks/Go
75189 ??         0:02.42 /Applications/Google Chrome.app/Contents/Frameworks/Go
75197 ??         0:00.71 /Applications/Google Chrome.app/Contents/Frameworks/Go
75204 ??         0:00.49 /Applications/Google Chrome.app/Contents/Frameworks/Go
75205 ??         0:00.59 /Applications/Google Chrome.app/Contents/Frameworks/Go
75206 ??         0:00.51 /Applications/Google Chrome.app/Contents/Frameworks/Go
75207 ??         0:00.66 /Applications/Google Chrome.app/Contents/Frameworks/Go
75208 ??         0:00.40 /Applications/Google Chrome.app/Contents/Frameworks/Go
75209 ??         0:00.65 /Applications/Google Chrome.app/Contents/Frameworks/Go
75210 ??         0:00.65 /Applications/Google Chrome.app/Contents/Frameworks/Go
75211 ??         0:00.39 /Applications/Google Chrome.app/Contents/Frameworks/Go
75212 ??         0:00.36 /Applications/Google Chrome.app/Contents/Frameworks/Go
75213 ??         0:00.40 /Applications/Google Chrome.app/Contents/Frameworks/Go
75214 ??         0:00.49 /Applications/Google Chrome.app/Contents/Frameworks/Go
75217 ??         0:00.37 /Applications/Google Chrome.app/Contents/Frameworks/Go
75220 ??         0:00.48 /Applications/Google Chrome.app/Contents/Frameworks/Go
75304 ??         0:00.15 /System/Library/PrivateFrameworks/CloudDocs.framework/
75403 ??         0:00.12 /System/Library/Frameworks/CoreServices.framework/Fram
75420 ??         0:00.05 /System/Library/Frameworks/CoreServices.framework/Fram
75459 ??         0:00.05 /System/Library/Frameworks/CoreServices.framework/Fram
75460 ??         0:00.05 /System/Library/Frameworks/CoreServices.framework/Fram
75466 ??         0:00.10 /System/Library/Frameworks/CoreServices.framework/Fram
75473 ??         0:05.89 /Applications/Avira.app/Contents/Helpers/avguard.bin -
75478 ??         0:00.04 /Library/Application Support/Symantec/Daemon/SymDaemon
75336 ttys000    0:00.02 login -pf manatkaur /bin/bash
75337 ttys000    0:00.03 -bash
75386 ttys000    0:00.05 /Library/Frameworks/Python.framework/Versions/3.8/Reso
75479 ttys000    0:00.00 ps -ax
